back away|[bæk əˈweɪ]|отступать, пятиться
tie up|[taɪ ʌp]|быть привязанным, слишком занятым для чего-то другого
touch down|[tʌʧ daʊn]|приземлиться (самолёт)
try on|[traɪ ɒn]|примерять
try out|[traɪ aʊt]|попробовать
wait out|[weɪt aʊt]|выжидать
warm up|[wɔːm ʌp]|разогреться (получить)
wash up|[wɒʃ ʌp]|мыть
wind down|[wɪnd daʊn]|раскрепоститься, выпустить пар
work on||работать над чем-л.
wrap up|[ræp ʌp]|заключать, подвести итог
zip up||застегиваться
zoom in|[zuːm ɪn]|увеличение изображения в объективе
zoom out|[zuːm aʊt]|уменьшение изображения в объективе
act to||разыгрывать
add on||прибавлять
answer to|[ˈɑːnsə tuː]|соответствовать
ask after||справляться о
attend to||обслуживать
back out||отступаться
bank on||полагаться на
bear out||поддерживать
bear up|[beə ʌp]|держаться
beat down|[biːt daʊn]|хлестать, палить
belt out||горланить
belt up||заткнуться
blast off|[blɑːst ɒf]|взлетать, взмывать
blot out|[blɒt aʊt]|заслонять
blow over||проходить
boil down to||сводиться к
book in||регистрироваться
bottle up||держать в себе
box off||окружать
break open||взламывать
bring about|[brɪŋ əˈbaʊt]|вызывать, порождать
bring down|[brɪŋ daʊn]|снижать
bring forward|[brɪŋ ˈfɔːwəd]|выдвигать
bring in|[brɪŋ ɪn]|вводить
bring off||заключать
bring out|[brɪŋ aʊt]|выявлять
bring round||приводить в чувство
brush aside|[brʌʃ əˈsaɪd]|отметать
brush past||проноситься мимо
brush up|[brʌʃ ʌp]|освежать
build on||пользоваться
build up|[bɪld ʌp]|наращивать
bump along||трястись по
bundle off||отсылать
bundle out||быстро уходить
burst into||врываться
burst open||распахиваться
buy in|[baɪ-ɪn]|закупать
buy into||входить в долю
buy off|[baɪ ɒf]|подкупать
buy out|[baɪ aʊt]|выкупать
buy up|[baɪ ʌp]|скупать
buzz off||отваливать
call at||останавливаться в
call on||заходить к
call out|[ˈkɔːlaʊt]|кричать
cast aside|[kɑːst əˈsaɪd]|отвергать
catch on|[kæʧ ɒn]|приживаться
catch up with||догнать кого-либо
chance on||случайно наткнуться на
chase up||напоминать
chat up||заигрывать
check off|[ʧek ɒf]|отмечать
check up|[ʧek ʌp]|наводить справки
clear off|[klɪə ɒf]|убираться
climb down|[klaɪm daʊn]|уступать
close in|[kləʊs ɪn]|опускаться
close off|[kləʊs ɒf]|огораживать
come apart|[kʌm əˈpɑːt]|разваливаться
come in for||подвергаться
come through|[kʌm θruː]|пережить
come up against||наталкиваться на
come up with|[kʌm ʌp wɪð]|придумывать
cool down|[kuːl daʊn]|остудить пыл
count up|[kaʊnt ʌp]|подсчитывать
cover up|[ˈkʌvə ʌp]|прикрывать, покрывать кого-либо
crack down on||расправляться с
crack up|[kræk ʌp]|лопаться от смеха
cross out|[krɒs aʊt]|вычеркивать
cry off||отказываться
deal in||торговать
die away|[daɪ əˈweɪ]|замирать
die down|[daɪ daʊn]|угасать
dig into||докапываться
do away with||покончить с
double back||разворачиваться и идти назад
double up|[dʌbl ʌp]|сгибаться пополам
draw back|[drɔː bæk]|отпрянуть
draw in|[drɔː ɪn]|подъезжать
draw on|[drɔː ɒn]|использовать
draw out|[drɔː aʊt]|растягивать
draw up|[drɔː ʌp]|придвигать
dream up|[driːm ʌp]|выдумывать
dress up|[dres ʌp]|наряжаться
drink in|[drɪŋk ɪn]|упиваться
drive off|[draɪv ɒf]|отбрасывать
drive out||вытеснять
drop in|[drɒp ɪn]|заглядывать к кому-либо
drum up|[drʌm ʌp]|призывать
dwell on||задерживаться на
ease off|[iːz ɒf]|становиться тише, замедляться
eat away|[iːt əˈweɪ]|разъедать
enter upon||начинать
explain away|[ɪksˈpleɪn əˈweɪ]|находить оправдание
fade in|[feɪd ɪn]|постепенно увеличивать, усиливать
fall back on||прибегать к
fall in with||соглашаться с
fasten on||сосредотачиваться на
feel about|[fiːl əˈbaʊt]|искать на ощупь
fetch up||оказаться
fiddle with||вертеть на руках
fight back|[faɪt bæk]|защищаться, сдерживать натиск
fight down||подавлять
filter in||просачиваться
finish up|[ˈfɪnɪʃ ʌp]|доедать, допивать
fish out|[fɪʃ aʊt]|выуживать
